Outlook,Temperature,Humidity,Wind,PlayGolf
Sunny,Hot,High,Strong,No
Overcast,Mild,High,Strong,Yes
Overcast,Hot,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Rainy,Cool,Normal,Weak,Yes
Sunny,Cool,Normal,Weak,Yes
Rainy,Mild,High,Strong,No
Overcast,Mild,High,Strong,Yes
Overcast,Cool,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Overcast,Hot,High,Weak,Yes
Overcast,Hot,High,Weak,Yes
Sunny,Mild,High,Weak,No
Sunny,Hot,High,Strong,No
Sunny,Hot,High,Strong,No
Rainy,Cool,Normal,Strong,No
Overcast,Mild,High,Strong,Yes
Overcast,Cool,Normal,Strong,Yes
Rainy,Mild,High,Strong,No
Sunny,Hot,High,Weak,No
Sunny,Mild,Normal,Strong,Yes
Rainy,Cool,Normal,Strong,No
Sunny,Mild,Normal,Strong,Yes
Sunny,Hot,High,Strong,No
Rainy,Mild,High,Weak,Yes
Overcast,Mild,High,Strong,Yes
Overcast,Mild,High,Strong,Yes
Overcast,Cool,Normal,Strong,Yes
Sunny,Hot,High,Weak,No
Rainy,Mild,High,Strong,No
Sunny,Hot,High,Weak,No
Sunny,Hot,High,Weak,No
Sunny,Hot,High,Strong,No
Rainy,Mild,High,Strong,No
Sunny,Hot,High,Strong,No
Sunny,Mild,High,Weak,No
Sunny,Mild,High,Weak,No
Rainy,Cool,Normal,Strong,No
Sunny,Cool,Normal,Weak,Yes
Rainy,Mild,High,Weak,Yes
Sunny,Hot,High,Weak,No
Sunny,Mild,High,Weak,No
Sunny,Hot,High,Weak,No
Rainy,Mild,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Sunny,Mild,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Sunny,Mild,High,Weak,No
Rainy,Cool,Normal,Strong,No
Sunny,Mild,High,Weak,No
Sunny,Hot,High,Strong,No
Rainy,Mild,High,Weak,Yes
Rainy,Cool,Normal,Strong,No
Sunny,Mild,High,Weak,No
Sunny,Hot,High,Strong,No
Overcast,Cool,Normal,Strong,Yes
Overcast,Hot,High,Weak,Yes
Rainy,Mild,High,Strong,No
Rainy,Mild,Normal,Weak,Yes
Rainy,Cool,Normal,Strong,No
Rainy,Mild,High,Weak,Yes
Sunny,Hot,High,Strong,No
Sunny,Hot,High,Strong,No
Sunny,Mild,High,Weak,No
Sunny,Mild,Normal,Strong,Yes
Rainy,Mild,High,Weak,Yes
Overcast,Cool,Normal,Strong,Yes
Sunny,Cool,Normal,Weak,Yes
Rainy,Mild,High,Weak,Yes
Rainy,Mild,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Rainy,Cool,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Rainy,Cool,Normal,Weak,Yes
Overcast,Hot,Normal,Weak,Yes
Sunny,Cool,Normal,Weak,Yes
Sunny,Mild,High,Weak,No
Sunny,Cool,Normal,Weak,Yes
Sunny,Hot,High,Strong,No
Rainy,Mild,High,Weak,Yes
Overcast,Mild,High,Strong,Yes
Sunny,Mild,High,Weak,No
Overcast,Mild,High,Strong,Yes
Overcast,Mild,High,Strong,Yes
Sunny,Mild,High,Weak,No
Rainy,Mild,High,Strong,No
Sunny,Hot,High,Strong,No
Overcast,Hot,Normal,Weak,Yes
Rainy,Mild,High,Strong,No
Sunny,Mild,Normal,Strong,Yes
Rainy,Cool,Normal,Strong,No
Overcast,Hot,Normal,Weak,Yes
Rainy,Cool,Normal,Strong,No
Sunny,Mild,High,Weak,No
Rainy,Mild,Normal,Weak,Yes
Overcast,Hot,Normal,Weak,Yes
Rainy,Mild,High,Weak,Yes
Overcast,Cool,Normal,Strong,Yes
Sunny,Mild,High,Weak,No
Rainy,Mild,Normal,Weak,Yes
Overcast,Hot,Normal,Weak,Yes
Sunny,Hot,High,Strong,No
Rainy,Mild,High,Strong,No
Overcast,Hot,Normal,Weak,Yes
Rainy,Mild,High,Strong,No
Rainy,Mild,High,Strong,No
Sunny,Mild,High,Weak,No
Overcast,Mild,High,Strong,Yes
Sunny,Hot,High,Weak,No
Sunny,Mild,High,Weak,No
Rainy,Mild,High,Weak,Yes
Overcast,Hot,High,Weak,Yes
Rainy,Mild,High,Strong,No
Rainy,Mild,High,Strong,No
Rainy,Mild,High,Strong,No
Rainy,Mild,Normal,Weak,Yes
Overcast,Cool,Normal,Strong,Yes
Overcast,Hot,Normal,Weak,Yes
Sunny,Hot,High,Weak,No
Rainy,Cool,Normal,Weak,Yes
Rainy,Cool,Normal,Strong,No
Overcast,Hot,Normal,Weak,Yes
Sunny,Mild,Normal,Strong,Yes
